rank,name,country,profits,headquarters,revenue,marketvalue,assets,ceo,industry,state
504,Swiss Re,Switzerland,351.1,Switzerland,42295,29931,214584,Christian Mumenthaler,Diversified Insurance,
561,Swisscom,Switzerland,1625.8,Switzerland,12071,23850,23858,Urs Schaeppi,Telecommunications services,
1803,Sydney Airport,Australia,454.2,Australia,1131,12139,9639,Geoff Culbert,Other Transportation,
1104,Symantec,United States,1163,California,4846,12132,15761,Greg Clark,Software & Programming,California
340,Synchrony Financial,United States,2076,Connecticut,14035,25745,95559,Margaret Keane,Consumer Financial Services,Connecticut
1786,Syndicate Bank,India,77.2,India,3939,1082,46291,Melwyn Rego,Regional Banks,
1941,Synnex Technology Intl,Taiwan,201,Taiwan,11972,2427,4664,Shu Tu,Electronics,
1987,Synovus Financial,United States,306.8,Georgia,1473,6407,31501,Kessel Stelling Jr.,Regional Banks,Georgia
461,Sysco,United States,1287,Texas,57832,32728,18629,Tom Bené,Food Retail,Texas
1807,Sysmex,Japan,353.9,Japan,2544,18054,3028,Hisashi Ietsugu,Medical Equipment & Supplies,
995,T Rowe Price,United States,1529.8,Maryland,5043,28625,7374,Bill Stromberg,Investment Services,Maryland
634,T&D Holdings,Japan,601.7,Japan,16215,10331,135548,Kenji Nakagome,Life & Health Insurance,
1060,TCL Corp,China,444.7,China,16790,7041,25926,Dong Li,Consumer Electronics,
769,TD Ameritrade Holding,United States,1010,Nebraska,4571,34938,38554,Timothy Hockey,Investment Services,Nebraska
54,TD Bank Group,Canada,7918.2,Canada,35741,107762,1028093,Bharat Masrani,Major Banks,
961,TDK,Japan,572.6,Japan,11475,11877,17915,Takehiro Kamigama,Electronics,
570,TE Connectivity,Switzerland,1319,Switzerland,14048,33116,19247,Terrence Curtin,Electronics,
681,TELUS,Canada,1124.8,Canada,10171,21251,23583,Darren Entwistle,Telecommunications services,
445,TJX Cos,United States,2607.9,Massachusetts,35865,52718,14058,Ernie Herrman,Apparel/Footwear Retail,Massachusetts
1752,TP ICAP,United Kingdom,112,United Kingdom,2286,3351,50556,John Phizackerley,Investment Services,
790,TUI,Germany,777.3,Germany,21340,13982,15602,Friedrich Joussen,Business & Personal Services,
1893,Tahoe Group,China,321.6,China,3647,5100,36106,Ping Yong,,
767,Taisei,Japan,1144,Japan,14305,12425,18155,Takashi Yamauchi,Construction Services,
1439,Taishin Financial Holdings,Taiwan,451.5,Taiwan,1731,4901,59526,Hae-Wook Lee,Investment Services,
1722,Taiwan Business Bank,Taiwan,165.7,Taiwan,1010,1907,53232,Rueen-Fong Chu,Regional Banks,
